"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C6,C9,C12","5","1u","","","","Wampler:CAP_FILM_1UF","~"
"C2,C5,C11","3","470p","","","","Wampler:CAP_MLCC_470PF","~"
"C4,C7,C15,C18","4","100n","","","","Wampler:CAP_FILM_100NF","~"
"C10","1","100u 35V","","","","Wampler:CAP_ELEC_100UF","~"
"C13","1","10n","","","","Wampler:CAP_FILM_10NF","~"
"C14","1","3.9n","","","","Wampler:CAP_MLCC_3.9NF","~"
"D1,D2,D5,D6","4","1N4148","","","","Wampler:DIODE_1N4148","~"
"D3","1","LED","","","","Wampler:LED_5MM","~"
"D4","1","1N4001","","","","Wampler:DIODE_1N4001","http://www.vishay.com/docs/88503/1n4001.pdf"
"J1,J2","2","~","","","","Wampler:CONNECTOR_4",""
"J3,J4,J5","3","~","","","","Wampler:CONNECTOR_2",""
"Q1,Q2,Q3,Q4","4","2N5088","","","","Wampler:BJT_2N5088","~"
"R1","1","1M","","","","Wampler:RESISTOR_1/4W","~"
"R2,R22","2","39k","","","","Wampler:RESISTOR_1/4W","~"
"R3","1","47k","","","","Wampler:RESISTOR_1/4W","~"
"R4","1","100R","","","","Wampler:RESISTOR_1/4W","~"
"R5,R11,R15","3","470k","","","","Wampler:RESISTOR_1/4W","~"
"R6,R8,R10,R14,R16","5","10k","","","","Wampler:RESISTOR_1/4W","~"
"R7,R19","2","1k","","","","Wampler:RESISTOR_1/4W","~"
"R12,R18,R26","3","100k","","","","Wampler:RESISTOR_1/4W","~"
"R13,R20","2","150R","","","","Wampler:RESISTOR_1/4W","~"
"R17","1","10R","","","","Wampler:RESISTOR_1/4W","~"
"R21","1","22k","","","","Wampler:RESISTOR_1/4W","~"
"R24","1","430k","","","","Wampler:RESISTOR_1/4W","~"
"R25","1","15k","","","","Wampler:RESISTOR_1/4W","~"
"R27","1","3.3k","","","","Wampler:RESISTOR_1/4W","~"
"RV1,RV2","2","100KB","","","","Wampler:POT_16MM_RA","~"
"RV3","1","100KA","","","","Wampler:POT_16MM_RA","~"
